GENESIS-Tabelle: 41253-0005
Erntemenge an Weinmost, Weinmostertrag je Hektar, Rebfläche;;;;;;;;;;
im Ertrag: Bundesländer, Jahre, Weinmostsorte;;;;;;;;;;
Erhebung der Weinernte;;;;;;;;;;
;;Weißmost;Weißmost;Weißmost;Rotmost;Rotmost;Rotmost;Insgesamt;Insgesamt;Insgesamt
;;Erntemenge an Weinmost;Weinmostertrag je Hektar;Rebfläche im Ertrag;Erntemenge an Weinmost;Weinmostertrag je Hektar;Rebfläche im Ertrag;Erntemenge an Weinmost;Weinmostertrag je Hektar;Rebfläche im Ertrag
;;hl;hl;ha;hl;hl;ha;hl;hl;ha
Baden-Württemberg;1993;1330184;79,9;16645;987644;92,9;10632;2317828;85,0;27277
Baden-Württemberg;1994;1452478;88,1;16491;1064166;98,9;10764;2516644;92,3;27255
Baden-Württemberg;1995;1136536;70,3;16174;812657;74,9;10857;1949193;72,1;27030
Baden-Württemberg;1996;1139254;72,8;15652;890597;81,4;10945;2029851;76,3;26598
Baden-Württemberg;1997;1021978;66,9;15283;958962;86,2;11123;1980940;75,0;26406
Baden-Württemberg;1998;1426726;96,6;14770;1426187;125,0;11407;2852909;109,0;26177
Baden-Württemberg;1999;1488950;103,8;14340;1660877;140,4;11827;3149827;120,4;26167
Baden-Württemberg;2000;1102225;79,2;13910;1320437;106,8;12365;2422662;92,2;26275
Baden-Württemberg;2001;1022477;76,2;13418;1301676;100,7;12926;2324153;88,2;26343
Baden-Württemberg;2002;1153248;88,8;12985;1530514;114,0;13431;2683761;101,6;26416
Baden-Württemberg;2003;908821;72,3;12573;1058872;76,1;13905;1967693;74,3;26479
Baden-Württemberg;2004;1119693;81,3;12267;1570765;109,5;14347;2690458;101,1;26614
Baden-Württemberg;2005;970828;80,6;12048;1538714;104,9;14674;2509541;93,9;26722
Baden-Württemberg;2006;901887;76,2;11836;1441110;96,8;14883;2342997;87,7;26719
Baden-Württemberg;2007;1040989;88,3;11795;1579078;104,7;15080;2620067;97,5;26875
Baden-Württemberg;2008;1012116;86,4;11717;1506257;99,8;15088;2518373;94,0;26805
Baden-Württemberg;2009;965194;81,9;11781;1340944;89,2;15031;2306137;86,0;26811
Baden-Württemberg;2010;776560;65,6;11837;1090310;73,3;14880;1866870;69,9;26717
Baden-Württemberg;2011;996258;83,8;11885;1375221;93,3;14734;2371479;89,1;26619
Baden-Württemberg;2012;999177;83,3;11995;1309005;89,8;14573;2308182;86,9;26569
Baden-Württemberg;2013;858887;70,9;12116;1138367;78,7;14472;1997254;75,1;26588
Baden-Württemberg;2014;1038640;84,6;12273;1320691;91,9;14376;2359331;88,5;26649
Baden-Württemberg;2015;955882;77,4;12353;1281458;90,0;14244;2237340;84,1;26596
Baden-Württemberg;2016;1079437;87,0;12413;1358102;96,0;14153;2437540;91,8;26566
Baden-Württemberg;2017;794933;63,4;12543;1042566;73,9;14104;1837499;69,0;26646
Baden-Württemberg;2018;1239293;98,0;12641;1419221;101,3;14009;2658514;99,8;26649
Bayern;1993;394918;71,1;5555;18433;65,8;280;413351;70,8;5835
Bayern;1994;543052;99,0;5487;25885;86,6;299;568937;98,3;5786
Bayern;1995;380474;68,9;5521;22130;62,7;353;402604;68,5;5874
Bayern;1996;440865;78,4;5620;26301;64,6;407;467166;77,5;6027
Bayern;1997;375676;67,7;5551;26044;59,7;436;401720;67,1;5987
Bayern;1998;553546;101,2;5469;39439;83,6;472;592985;99,8;5941
Bayern;1999;673072;125,5;5363;52229;102,1;512;725301;123,5;5875
Bayern;2000;432910;81,0;5345;46621;80,4;580;479530;80,9;5925
Bayern;2001;454112;86,0;5282;45770;73,1;626;499881;84,6;5907
Bayern;2002;395008;76,5;5163;50883;75,5;674;445891;76,4;5837
Bayern;2003;377084;75,6;4986;40654;56,8;716;417739;73,3;5702
Bayern;2004;406445;82,6;4923;65743;70,1;938;472187;80,6;5862
Bayern;2005;351792;72,6;4847;72110;67,6;1067;423902;71,7;5914
Bayern;2006;409920;84,4;4859;79686;69,3;1149;489606;81,5;6008
Bayern;2007;436969;90,2;4844;102584;85,4;1201;539553;89,3;6045
Bayern;2008;375328;79,0;4751;88525;74,1;1195;463853;78,0;5946
Bayern;2009;367483;77,2;4757;84074;69,9;1203;451557;75,8;5960
Bayern;2010;281890;60,1;4692;72189;60,6;1191;354079;60,2;5883
Bayern;2011;311694;64,1;4866;61691;51,9;1190;373385;61,7;6056
Bayern;2012;385778;79,3;4868;84165;71,8;1173;469943;77,8;6040
Bayern;2013;354918;72,0;4927;78148;66,7;1172;433066;71,0;6100
Bayern;2014;385718;78,1;4936;83325;71,4;1168;469043;76,8;6104
Bayern;2015;340058;69,3;4908;79817;68,9;1159;419875;69,2;6066
Bayern;2016;393619;80,2;4906;77203;67,1;1151;470822;77,7;6057
Bayern;2017;378264;76,5;4943;82122;71,8;1144;460387;75,6;6087
Bayern;2018;435213;87,9;4953;89727;79,7;1126;524940;86,4;6078
Berlin;1993;-;-;-;-;-;-;-;-;-
Berlin;1994;-;-;-;-;-;-;-;-;-
Berlin;1995;-;-;-;-;-;-;-;-;-
Berlin;1996;-;-;-;-;-;-;-;-;-
Berlin;1997;-;-;-;-;-;-;-;-;-
Berlin;1998;-;-;-;-;-;-;-;-;-
Berlin;1999;-;-;-;-;-;-;-;-;-
Berlin;2000;-;-;-;-;-;-;-;-;-
Berlin;2001;-;-;-;-;-;-;-;-;-
