GENESIS-Tabelle: 41252-0003
Mit Keltertrauben bestockte Rebfl‰che: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weinanbaugebiete, Rebsorte;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rebfl‰chenerhebung (Weinbaukataster);;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mit Keltertrauben bestockte Rebfl‰che (ha);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
W¸rttemberg;Weiﬂwein;4943;4930;4860;4781;4668;4423;4153;4019;3824;3666;3535;3441;3355;3315;3287;3283;3268;3280;3280;3336;3393;3409;3513;3472;3557;3650
W¸rttemberg;Rotwein;6190;6274;6327;6443;6528;6706;6880;7244;7512;7752;7925;8081;8160;8207;8239;8228;8167;8141;8065;8023;7980;7934;7968;7834;7802;7811
W¸rttemberg;Insgesamt;11133;11204;11187;11224;11196;11129;11033;11264;11336;11418;11459;11522;11515;11522;11526;11511;11435;11421;11345;11359;11373;11343;11481;11306;11360;11461
Baden;Weiﬂwein;11848;11723;11494;11065;10794;10551;10133;10141;9847;9598;9366;9172;9050;8944;8809;8846;8856;8937;8997;9069;9140;9202;9246;9304;9369;9416
Baden;Rotwein;4577;4648;4730;4787;4965;5210;5418;5739;6019;6319;6578;6805;6954;7064;7083;7060;6981;6899;6823;6746;6681;6616;6554;6507;6465;6411
Baden;Insgesamt;16425;16371;16224;15852;15759;15761;15551;15880;15866;15917;15944;15977;16004;16008;15892;15906;15836;15837;15820;15815;15822;15818;15800;15812;15834;15828
Franken;Weiﬂwein;5690;5694;5726;5626;5595;5530;5435;5413;5377;5265;5108;5006;4944;4911;4887;4861;4904;4922;4934;4941;4963;4968;4944;4968;5010;5018
Franken;Rotwein;310;324;359;423;461;501;557;616;662;777;897;1045;1128;1178;1194;1202;1200;1187;1177;1163;1162;1156;1144;1139;1129;1112
Franken;Insgesamt;5967;6019;6084;6049;6056;6031;5992;6029;6040;6041;6005;6051;6072;6089;6081;6063;6104;6109;6111;6104;6125;6124;6087;6107;6139;6130
Hessische Bergstraﬂe;Weiﬂwein;448;448;440;424;419;416;411;407;401;390;373;361;352;346;346;348;347;345;348;354;355;358;361;365;367;370
