GENESIS-Tabelle: 41255-0002
Weinbestand: Bundesl‰nder, Jahre, Rebsorte;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erhebung der Weinbest‰nde;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weinbestand (hl);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Baden-W¸rttemberg;Weiﬂwein;2693860;2437524;2407519;2002974;1599135;1392491;1597751;1792103;1779004;1441633;1325892;1026071;1094812;1036675;842911;864070;863135;839832;657181;778070;835443;822898;961565;992768;989098;928526
Baden-W¸rttemberg;Rotwein;1602099;1550580;1522180;1133657;850117;711183;1089815;1507808;1703402;1548879;1791889;1508120;1789070;1980821;1977806;2053395;2114472;1909173;1624519;1680768;1618046;1467073;1581867;1652456;1780306;1617588
Baden-W¸rttemberg;Insgesamt;4295957;3988103;3929699;3136631;2449252;2103675;2687566;3299911;3482406;2990511;3117781;2534192;2883882;3017497;2820717;2917465;2977607;2749005;2281700;2458838;2453489;2289971;2543432;2645224;2769404;2546114
Bayern;Weiﬂwein;1050694;939968;1028050;835380;815159;757268;830438;868097;1015198;991818;835568;644065;536759;419068;348892;361843;330081;311092;343935;303652;329428;283152;317457;299870;343900;361882
Bayern;Rotwein;226827;160312;213305;165115;243666;262804;215636;180289;210978;219408;144658;129924;159847;156722;155673;164550;194577;196201;309754;203261;210674;167131;170585;162611;167743;191094
Bayern;Insgesamt;1277521;1100280;1241355;1000495;1058825;1020072;1046074;1048385;1226176;1211226;980226;773989;696606;575791;504565;526393;524658;507293;653689;506913;540102;450283;488042;462481;511643;552976
Berlin;Weiﬂwein;35804;37940;36662;26929;33275;29586;30127;22683;24045;19208;8312;8466;6912;8318;7198;7322;7160;6635;5843;.;.;.;.;.;.;.
Berlin;Rotwein;16139;15528;15145;12824;15938;15421;18304;17064;18142;15066;8078;7870;6258;7586;5731;5624;5811;5556;4894;.;.;.;.;.;.;.
Berlin;Insgesamt;51943;53468;51806;39753;49213;45007;48431;39747;42187;34274;16390;16336;13170;15904;12929;12946;12971;12191;10737;.;.;.;.;.;.;.
Brandenburg;Weiﬂwein;6840;15313;10595;13231;12032;8751;9067;6494;6416;5086;3240;6268;6617;6677;.;6553;4420;4628;11869;.;.;.;.;.;.;.
Brandenburg;Rotwein;2687;5048;4313;5135;5711;4799;5343;4603;4415;4249;2454;4765;4794;4871;.;5114;4383;3977;5969;.;.;.;.;.;.;.
Brandenburg;Insgesamt;9527;20361;14908;18366;17743;13550;14410;11097;10831;9334;5694;11033;11411;11548;.;11667;8804;8604;17838;.;.;.;.;.;.;.
Bremen;Weiﬂwein;31828;30793;43126;34163;44137;36432;35792;38604;43685;31362;27762;13127;11802;13223;12836;26990;17393;12505;10729;21579;10909;9470;8199;9883;10741;8297
Bremen;Rotwein;47397;40049;27053;27882;35225;32048;30533;30287;29682;30018;29828;22430;23127;26941;23186;39955;28911;24663;19500;30110;17982;16519;19018;23189;24804;26425
Bremen;Insgesamt;79225;70842;70179;62045;79362;68480;66325;68891;73367;61381;57590;35558;34929;40164;36022;66945;46304;37168;30229;51689;28891;25989;27217;33072;35545;34722
Hamburg;Weiﬂwein;14929;16559;28514;29606;23305;9763;8664;8664;42795;30366;19549;38573;25231;26023;28792;28926;35457;44613;40967;10453;39260;45963;42668;27771;26993;28654
Hamburg;Rotwein;18289;14252;26045;29199;15938;12760;10776;10776;111465;29678;23690;48633;41196;41469;41284;44472;41117;44245;41452;18256;42792;70093;54875;40004;39830;40076
Hamburg;Insgesamt;33219;30811;54558;58805;39243;22523;19439;19439;154260;60045;43239;87206;66427;67492;70076;73399;76574;88858;82419;28709;82052;116056;97543;67775;66823;68730
