GENESIS-Tabelle: 41254-0003
Erzeugter Wein: Bundesländer, Jahre, Rebsorte,;;;;;;;;;;;;;
Weinkategorien;;;;;;;;;;;;;
Erhebung der Weinerzeugung;;;;;;;;;;;;;
Erzeugter Wein (hl);;;;;;;;;;;;;
;;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte;Rebsorte
;;Weißwein;Weißwein;Weißwein;Weißwein;Rotwein;Rotwein;Rotwein;Rotwein;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;Qualitätswein (Wein mit g.U.);Prädikatswein (Wein mit g.U.);Wein und/oder Landwein;Insgesamt;Qualitätswein (Wein mit g.U.);Prädikatswein (Wein mit g.U.);Wein und/oder Landwein;Insgesamt;Qualitätswein (Wein mit g.U.);Prädikatswein (Wein mit g.U.);Wein und/oder Landwein;Insgesamt
Baden-Württemberg;2010;505355;229912;2072;737338;809252;217803;2300;1029355;1314607;447715;4372;1766694
Baden-Württemberg;2011;595897;396961;2828;995687;948342;419712;2738;1370792;1544239;816673;5566;2366478
Baden-Württemberg;2012;568463;427385;2554;998403;876075;422613;2579;1301268;1444539;849998;5134;2299670
Baden-Württemberg;2013;628594;226375;3453;858422;922699;209872;2977;1135548;1551293;436247;6429;1993970
Baden-Württemberg;2014;792183;239972;6074;1038229;1136056;178254;3480;1317790;1928239;418226;9555;2356020
Baden-Württemberg;2015;440513;513312;1405;955230;771621;502489;2428;1276538;1212134;1015801;3833;2231768
Baden-Württemberg;2016;678248;398181;2479;1078908;1024595;327677;2621;1354893;1702843;725858;5100;2433800
Baden-Württemberg;2017;498913;293792;1731;794435;799202;239057;2349;1040608;1298115;532849;4080;1835043
Baden-Württemberg;2018;552717;677985;6959;1237661;714523;697278;4410;1416211;1267240;1375263;11369;2653872
Bayern;2010;107433;151493;1275;260202;66141;9871;393;76405;173574;161364;1668;336607
Bayern;2011;55977;225609;2099;283685;47024;27652;327;75003;103001;253261;2426;358688
Bayern;2012;52123;314355;1809;368286;47252;47283;393;94929;99375;361638;2203;463215
Bayern;2013;107568;221936;1690;331193;51892;31803;458;84152;159460;253739;2147;415346
Bayern;2014;163399;182070;1879;347349;68441;26160;460;95061;231840;208230;2339;442409
Bayern;2015;91858;224889;1966;318712;45548;38941;315;84804;137406;263830;2281;403516
Bayern;2016;106054;256319;2146;364519;51944;32340;242;84526;157998;288659;2388;449045
Bayern;2017;158159;191411;1856;351426;71242;17289;350;88881;229402;208700;2206;440308
Bayern;2018;90587;304526;2051;397164;37113;52386;416;89915;127700;356912;2467;487078
Berlin;2010;-;-;-;-;-;-;-;-;-;-;-;-
Berlin;2011;-;-;-;-;-;-;-;-;-;-;-;-
Berlin;2012;-;-;-;-;-;-;-;-;-;-;-;-
Berlin;2013;-;-;-;-;-;-;-;-;-;-;-;-
Berlin;2014;-;-;-;-;-;-;-;-;-;-;-;-
Berlin;2015;-;-;-;-;-;-;-;-;-;-;-;-
Berlin;2016;-;-;-;-;-;-;-;-;-;-;-;-
Berlin;2017;-;-;-;-;-;-;-;-;-;-;-;-
Berlin;2018;-;-;-;-;-;-;-;-;-;-;-;-
Brandenburg;2010;-;-;56;56;-;-;53;53;-;-;109;109
Brandenburg;2011;.;.;.;.;.;.;.;.;-;-;158;158
Brandenburg;2012;.;.;.;.;.;.;.;.;276;1;132;409
Brandenburg;2013;-;-;-;-;-;-;-;-;-;-;-;-
Brandenburg;2014;-;-;-;-;-;-;-;-;-;-;-;-
Brandenburg;2015;-;-;-;-;-;-;-;-;-;-;-;-
Brandenburg;2016;-;-;-;-;-;-;-;-;-;-;-;-
Brandenburg;2017;-;-;-;-;-;-;-;-;-;-;-;-
Brandenburg;2018;-;-;-;-;-;-;-;-;-;-;-;-
Bremen;2010;-;-;-;-;-;-;-;-;-;-;-;-
Bremen;2011;-;-;-;-;-;-;-;-;-;-;-;-
Bremen;2012;-;-;-;-;-;-;-;-;-;-;-;-
Bremen;2013;-;-;-;-;-;-;-;-;-;-;-;-
