Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20200802;;;;;;;;;;;;;;;;;;
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland
1951;year;1892,60;1893,90;1711,60;1712,50;1624,30;1904,00;1643,40;1645,90;1567,60;1650,80;1738,50;1751,10;1842,90;1685,90;1662,00;1632,00;1711,70
1952;year;1653,40;1654,00;1712,10;1577,70;1517,50;1714,30;1484,90;1486,50;1432,20;1589,80;1613,20;1746,00;1607,60;1562,60;1526,40;1480,80;1576,70
1953;year;1919,90;1919,10;1906,90;1889,90;1765,00;1876,90;1609,50;1610,10;1562,30;1716,70;1694,10;1917,50;1892,90;1740,70;1741,20;1741,90;1783,90
1954;year;1676,40;1676,50;1588,60;1580,40;1535,60;1619,10;1483,90;1483,60;1448,80;1555,60;1511,50;1658,70;1665,10;1574,20;1542,40;1502,50;1560,40
1955;year;1734,00;1732,80;1659,10;1606,90;1585,70;1783,40;1626,20;1627,80;1538,50;1658,80;1824,00;1833,70;1589,60;1558,60;1519,20;1469,60;1633,70
1956;year;1621,30;1623,20;1604,90;1597,70;1452,10;1701,60;1428,50;1430,70;1302,90;1478,20;1696,70;1687,90;1551,90;1478,70;1444,70;1402,00;1528,50
1957;year;1695,30;1696,10;1731,00;1668,10;1610,00;1688,40;1548,10;1549,50;1512,80;1684,10;1718,30;1864,20;1666,80;1577,90;1574,40;1570,10;1638,80
1958;year;1583,20;1583,00;1654,10;1629,10;1465,20;1584,20;1387,40;1388,60;1392,50;1534,80;1572,40;1607,00;1509,20;1436,20;1434,70;1432,80;1526,20
1959;year;2007,30;2009,00;2021,40;1993,60;2003,30;2041,10;1898,70;1899,60;1953,40;1993,60;2085,00;2112,70;2007,50;1919,70;1936,00;1956,50;1984,00
1960;year;1587,00;1587,80;1559,20;1579,60;1412,50;1629,00;1329,40;1331,10;1319,40;1408,80;1529,20;1435,50;1541,60;1441,80;1422,60;1398,50;1482,40
1961;year;1637,50;1638,20;1742,20;1708,30;1457,70;1693,20;1356,20;1358,10;1337,20;1522,80;1648,90;1670,50;1577,10;1468,60;1461,70;1452,90;1562,20
1962;year;1504,40;1506,00;1847,20;1771,50;1549,60;1529,30;1301,70;1301,70;1279,80;1644,00;1512,10;1815,10;1547,10;1455,90;1484,40;1520,30;1558,10
1963;year;1783,80;1784,90;1627,00;1665,70;1538,40;1747,90;1488,10;1487,10;1456,20;1548,50;1545,20;1633,90;1674,60;1616,90;1611,10;1603,90;1608,60
1964;year;1760,20;1759,10;1731,80;1723,60;1648,10;1753,70;1561,20;1560,70;1588,20;1650,20;1623,10;1714,10;1724,40;1654,50;1665,20;1678,70;1675,60
1965;year;1583,50;1583,10;1427,90;1462,30;1321,80;1620,40;1404,00;1405,30;1330,20;1386,20;1571,90;1442,10;1514,30;1486,70;1456,70;1419,00;1453,40
1966;year;1496,00;1496,70;1543,10;1478,40;1349,60;1546,70;1347,00;1347,80;1299,90;1440,90;1469,80;1528,20;1444,80;1419,10;1397,20;1369,60;1436,70
1967;year;1694,90;1695,40;1770,80;1736,30;1556,80;1722,00;1492,20;1492,50;1514,30;1646,70;1589,50;1741,00;1604,60;1581,40;1566,90;1548,60;1635,10
1968;year;1676,10;1676,30;1559,20;1580,10;1424,80;1740,00;1490,70;1492,90;1375,90;1409,80;1676,90;1473,40;1558,50;1547,70;1521,20;1487,80;1543,10
1969;year;1677,20;1677,60;1609,10;1671,20;1440,70;1684,80;1453,00;1454,20;1457,80;1463,00;1614,70;1496,90;1642,70;1516,90;1515,40;1513,40;1570,50
1970;year;1593,20;1593,60;1487,00;1484,90;1356,20;1676,40;1432,50;1434,40;1410,90;1427,60;1647,00;1486,10;1461,90;1443,30;1412,20;1373,10;1480,60
1971;year;1762,80;1762,20;1816,80;1827,20;1646,80;1744,80;1540,90;1541,30;1615,20;1702,90;1649,40;1783,50;1692,00;1629,50;1650,30;1676,50;1705,70
1972;year;1594,70;1594,20;1579,70;1576,00;1447,70;1647,40;1468,00;1469,90;1438,60;1498,80;1620,50;1574,50;1523,80;1482,10;1481,30;1480,10;1532,90
1973;year;1683,10;1683,70;1665,60;1673,90;1619,60;1765,70;1544,70;1547,00;1565,80;1684,30;1699,20;1758,30;1639,10;1603,20;1604,70;1606,50;1642,70
1974;year;1526,20;1526,00;1460,10;1499,00;1344,80;1605,40;1436,50;1438,90;1359,70;1399,20;1619,10;1421,20;1365,90;1396,00;1364,90;1326,00;1452,30
1975;year;1740,70;1740,40;1616,10;1635,80;1588,30;1873,90;1672,10;1674,40;1591,10;1615,30;1807,00;1625,60;1566,20;1642,40;1611,80;1573,30;1656,60
1976;year;1772,10;1771,20;1815,30;1780,50;1726,80;1799,00;1703,70;1705,30;1751,40;1798,70;1788,10;1876,20;1643,00;1688,40;1691,30;1695,00;1754,10
1977;year;1410,00;1409,20;1414,70;1412,60;1278,70;1433,60;1327,20;1328,50;1319,80;1314,10;1469,10;1352,40;1258,20;1314,10;1294,20;1269,10;1362,30
1978;year;1492,90;1492,60;1507,60;1443,70;1247,00;1483,60;1289,10;1290,30;1287,90;1323,00;1417,90;1362,70;1355,20;1328,50;1306,00;1277,60;1382,60
1979;year;1558,20;1557,80;1517,40;1524,50;1379,60;1536,00;1328,10;1329,50;1320,60;1423,50;1431,70;1438,20;1475,20;1397,60;1392,50;1386,20;1446,70
1980;year;1546,30;1545,60;1427,60;1437,40;1355,20;1570,70;1448,70;1450,40;1387,20;1351,40;1546,30;1345,10;1425,30;1451,40;1423,70;1388,90;1443,90
1981;year;1492,50;1492,70;1457,70;1460,20;1303,90;1534,80;1310,70;1312,00;1233,90;1325,90;1431,70;1380,40;1385,50;1365,60;1346,90;1323,30;1392,20
1982;year;1950,80;1949,80;1651,60;1686,80;1633,50;1869,90;1659,10;1659,00;1614,60;1620,30;1693,50;1637,10;1858,90;1808,00;1778,00;1740,20;1718,60
1983;year;1640,00;1640,50;1651,50;1663,90;1495,20;1597,20;1502,50;1502,60;1501,70;1522,40;1572,30;1543,60;1591,90;1578,50;1568,20;1555,20;1582,70
1984;year;1445,10;1444,90;1528,30;1482,30;1268,80;1476,40;1311,10;1312,00;1293,80;1343,00;1406,60;1412,60;1430,00;1358,50;1339,30;1315,10;1401,00
1985;year;1524,70;1524,20;1717,50;1644,50;1467,50;1469,40;1382,40;1382,40;1438,60;1530,80;1381,90;1594,60;1480,70;1471,90;1482,70;1496,30;1521,50
