Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20200802;;;;;;;;;;;;;;;;;;
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland
1881;year;521,30;521,00;828,60;804,90;649,50;494,50;643,50;643,40;792,10;711,20;675,70;776,20;731,00;536,20;588,90;655,00;693,50
1882;year;673,60;673,00;1255,20;1085,30;1005,10;568,50;758,80;757,30;1032,10;1078,90;785,40;1210,30;952,30;666,80;762,30;882,40;926,70
1883;year;500,60;500,30;870,50;832,40;656,80;518,90;620,40;619,90;754,60;713,60;684,60;819,50;655,90;474,90;527,20;593,00;687,20
1884;year;635,40;634,30;776,40;797,20;699,40;600,10;755,20;754,60;808,30;700,30;767,40;769,00;723,80;635,90;652,00;672,20;732,20
1885;year;550,20;549,70;990,90;830,20;691,80;537,90;646,70;646,10;734,60;793,30;684,60;925,10;665,00;536,30;571,50;615,70;718,40
1886;year;509,60;509,20;1063,10;863,90;745,30;442,80;611,60;610,90;764,70;784,90;625,70;891,60;714,90;500,10;566,10;649,00;722,60
1887;year;464,30;464,20;772,10;708,40;604,70;464,30;537,60;536,60;621,40;634,10;540,20;754,00;598,30;453,20;496,30;550,60;601,70
1888;year;570,70;570,50;925,60;924,80;698,60;640,80;723,90;724,50;815,20;743,40;809,30;839,80;717,90;555,00;608,40;675,40;766,20
1889;year;604,10;603,70;944,70;900,90;642,10;585,30;709,00;709,60;768,40;689,50;742,40;762,00;757,60;598,60;635,90;682,70;751,30
1890;year;569,80;569,40;872,60;925,90;690,60;556,70;693,40;693,70;824,20;700,60;706,90;770,00;727,30;559,40;605,20;663,10;744,50
1891;year;624,50;625,00;859,20;862,10;731,30;617,60;723,90;724,20;803,10;744,00;769,40;796,30;815,20;619,10;672,40;739,40;760,40
1892;year;413,70;414,50;833,10;906,40;527,80;523,90;586,00;585,10;658,90;599,30;632,90;650,20;540,20;410,80;465,90;535,20;647,20
1893;year;529,10;529,60;727,10;804,90;668,80;571,00;626,10;626,20;706,20;673,50;712,90;748,30;665,40;543,10;593,50;657,00;675,80
1894;year;615,60;616,80;882,10;954,20;784,00;611,70;768,00;767,80;891,30;738,10;753,70;754,10;829,50;577,80;661,20;766,00;795,20
1895;year;539,80;540,20;918,80;917,50;715,10;609,00;740,90;740,40;839,40;748,80;750,80;871,80;717,50;576,60;634,10;706,40;765,20
1896;year;567,40;567,70;996,00;977,30;689,20;613,40;712,20;711,70;780,80;754,60;701,20;840,60;766,50;597,30;656,30;730,80;779,10
